Date, Open, High, Low, Close
10/25/22, 111.82, 112.13, 110.76, 110.95
10/24/22, 111.88, 112.53, 111.47, 111.99
10/21/22, 112.94, 113.94, 111.70, 112.01
10/20/22, 112.99, 113.09, 112.17, 112.88
10/19/22, 111.91, 113.09, 111.92, 112.98
10/18/22, 112.07, 112.45, 111.77, 112.13
10/17/22, 113.22, 113.22, 111.92, 112.04
10/14/22, 112.47, 113.42, 112.16, 113.31
10/13/22, 113.24, 113.92, 112.15, 112.36
10/12/22, 113.31, 113.59, 113.05, 113.32
10/11/22, 113.08, 113.50, 112.41, 113.22
10/10/22, 112.84, 113.33, 112.62, 113.14
10/07/22, 112.25, 112.88, 111.95, 112.80
10/06/22, 111.02, 112.31, 110.78, 112.26
10/05/22, 110.22, 111.73, 110.09, 110.06
10/04/22, 111.59, 111.89, 110.06, 110.06
10/03/22, 112.17, 112.54, 111.47, 111.75
09/30/22, 111.75, 112.67, 111.58, 112.12
09/29/22, 113.01, 113.79, 111.77, 112.25
09/28/22, 114.19, 114.78, 112.56, 112.60
09/27/22, 114.02, 114.02, 114.10, 114.10
09/26/22, 113.02, 114.53, 112.94, 114.10
09/23/22, 111.24, 113.23, 111.08, 113.19
09/22/22, 111.48, 111.81, 110.46, 111.35
09/21/22, 110.16, 111.58, 110.13, 110.64
09/20/22, 109.58, 110.29, 109.36, 110.22
09/19/22, 109.64, 110.17, 109.49, 109.74
09/16/22, 109.80, 110.26, 109.47, 109.76
09/15/22, 109.61, 109.66, 109.61, 109.66
09/14/22, 109.97, 109.93, 109.28, 109.66
09/13/22, 108.23, 110.01, 107.68, 109.81
09/12/22, 108.60, 108.86, 107.81, 108.33
09/09/22, 109.58, 109.54, 108.36, 109.00
09/08/22, 109.67, 110.24, 109.33, 109.71
09/07/22, 110.32, 110.79, 109.53, 109.84
09/06/22, 109.60, 110.55, 109.38, 110.21
09/05/22, 109.61, 110.27, 109.72, 109.83
09/02/22, 109.64, 109.72, 108.93, 109.53
09/01/22, 108.84, 109.98, 108.77, 109.69
08/31/22, 108.75, 109.20, 108.38, 108.70
08/30/22, 108.70, 109.11, 108.29, 108.77
08/29/22, 108.88, 109.48, 108.49, 108.83
08/26/22, 108.47, 108.87, 107.59, 108.80
08/25/22, 108.63, 108.69, 107.99, 108.47
08/24/22, 108.52, 109.11, 108.36, 108.68
08/23/22, 109.00, 109.27, 108.08, 108.62
08/22/22, 108.09, 109.10, 108.08, 109.05
08/19/22, 107.50, 108.22, 107.47, 108.17
08/18/22, 106.67, 107.56, 106.50, 107.48
08/17/22, 106.45, 106.89, 106.31, 106.57
08/16/22, 106.48, 106.94, 106.32, 106.50
08/15/22, 105.66, 106.55, 105.55, 106.55
08/12/22, 105.16, 105.88, 105.09, 105.63
08/11/22, 105.21, 105.46, 104.65, 105.09
08/10/22, 106.34, 106.40, 104.64, 105.20
08/09/22, 106.33, 106.41, 105.97, 106.37
08/08/22, 106.60, 106.80, 106.09, 106.44
08/05/22, 105.72, 106.93, 105.69, 106.62
08/04/22, 106.48, 106.51, 105.67, 105.69
08/03/22, 106.43, 106.82, 105.97, 106.51
08/02/22, 105.36, 106.35, 105.05, 106.24
08/01/22, 105.88, 106.03, 105.24, 105.45
07/29/22, 106.21, 106.66, 105.54, 105.90
07/28/22, 106.37, 106.97, 106.06, 106.35
07/27/22, 107.13, 107.43, 106.26, 106.45
07/26/22, 106.45, 107.28, 106.20, 107.19
07/25/22, 106.59, 107.36, 106.11, 106.73
07/22/22, 106.59, 107.36, 106.11, 106.73
07/21/22, 107.08, 107.32, 106.42, 106.91
07/20/22, 106.67, 107.25, 106.39, 107.08
07/19/22, 107.49, 107.63, 106.40, 106.68
07/18/22, 108.01, 108.04, 106.89, 107.37
07/15/22, 108.67, 108.71, 107.91, 108.06
07/14/22, 108.14, 109.29, 108.20, 108.54
07/13/22, 108.19, 108.58, 107.48, 107.96
07/12/22, 108.18, 108.56, 107.84, 108.07
07/11/22, 106.93, 108.27, 106.92, 108.02
07/08/22, 107.04, 107.79, 106.81, 107.01
07/07/22, 107.07, 107.23, 106.71, 107.13
07/06/22, 106.49, 107.26, 106.36, 107.10
07/05/22, 105.14, 106.79, 105.05, 106.53
07/04/22, 105.14, 105.25, 104.81, 105.14
07/01/22, 104.78, 105.64, 104.74, 105.14
06/30/22, 105.06, 105.54, 104.64, 104.69
06/29/22, 104.46, 105.15, 104.36, 105.11
06/28/22, 103.97, 104.61, 103.77, 104.51
06/27/22, 104.12, 104.21, 103.67, 103.94
06/24/22, 104.38, 104.51, 103.95, 104.19
06/23/22, 104.21, 104.77, 104.06, 104.43
06/22/22, 104.43, 104.95, 103.86, 104.20
06/21/22, 104.44, 104.54, 103.94, 104.44
06/20/22, 104.65, 104.82, 104.23, 104.70
06/17/22, 103.88, 105.08, 103.83, 104.70
06/16/22, 104.90, 105.49, 103.42, 103.63
06/15/22, 105.35, 105.79, 104.66, 105.16
06/14/22, 105.19, 105.65, 104.62, 105.52
06/13/22, 104.21, 105.28, 104.21, 105.08
06/10/22, 103.34, 104.23, 103.05, 104.15
06/09/22, 102.56, 103.37, 102.15, 103.22
06/08/22, 102.39, 102.78, 102.27, 102.54
06/07/22, 102.49, 102.84, 102.26, 102.32
06/06/22, 102.16, 102.47, 101.85, 102.44
06/03/22, 101.75, 102.22, 101.64, 102.14
06/02/22, 102.55, 102.62, 101.74, 101.82
06/01/22, 101.76, 102.73, 101.74, 102.50
05/31/22, 101.44, 102.17, 101.41, 101.75
05/30/22, 101.66, 101.72, 101.30, 101.67
05/27/22, 101.72, 101.94, 101.43, 101.67
05/26/22, 102.02, 102.27, 101.74, 101.83
05/25/22, 101.77, 102.45, 101.73, 102.06
05/24/22, 102.11, 102.32, 101.65, 101.86
05/23/22, 103.04, 103.05, 102.04, 102.08
05/20/22, 102.90, 103.26, 102.77, 103.15
05/19/22, 103.83, 103.88, 102.66, 102.72
05/18/22, 103.34, 103.93, 103.19, 103.81
05/17/22, 104.17, 104.23, 103.23, 103.36
05/16/22, 104.47, 104.64, 104.14, 104.19
05/13/22, 104.77, 105.00, 104.47, 104.56
05/12/22, 104.01, 104.92, 103.88, 104.85
05/11/22, 103.90, 104.11, 103.37, 103.85
05/10/22, 103.73, 103.98, 103.50, 103.92
05/09/22, 103.66, 104.19, 103.39, 103.65
05/06/22, 103.56, 104.06, 103.19, 103.66
05/05/22, 102.68, 103.94, 102.35, 103.75
05/04/22, 103.46, 103.61, 102.46, 102.59
05/03/22, 103.60, 103.67, 103.03, 103.47
05/02/22, 103.18, 103.75, 103.11, 103.74
04/29/22, 103.67, 103.67, 102.82, 102.96
04/28/22, 103.04, 103.93, 102.98, 103.62
04/27/22, 102.28, 103.28, 102.22, 102.95
04/26/22, 101.73, 101.75, 101.73, 101.75
04/25/22, 101.06, 101.86, 101.04, 101.75
04/22/22, 100.62, 101.33, 100.47, 101.22
04/21/22, 100.35, 100.64, 99.82, 100.58
04/20/22, 100.98, 101.03, 100.22, 100.39
04/19/22, 100.83, 101.03, 100.70, 100.96
04/18/22, 100.50, 100.86, 100.46, 100.78
04/15/22, 100.42, 100.57, 100.40, 100.50
04/14/22, 99.79, 100.76, 99.57, 100.32
04/13/22, 100.34, 100.52, 99.83, 99.88
04/12/22, 100.03, 100.33, 99.74, 100.29
04/11/22, 99.84, 100.05, 99.61, 99.93
04/08/22, 99.82, 100.19, 99.74, 99.80
04/07/22, 99.65, 99.83, 99.40, 99.75
04/06/22, 99.47, 99.77, 99.31, 99.60
04/05/22, 99.00, 99.52, 98.84, 99.47
04/04/22, 98.57, 99.08, 98.52, 99.00
04/01/22, 98.33, 98.74, 98.31, 98.63
03/31/22, 97.83, 98.40, 97.69, 98.31
03/30/22, 98.37, 98.43, 97.69, 97.79
03/29/22, 99.08, 99.30, 98.04, 98.40
03/28/22, 98.80, 99.37, 98.80, 99.09
03/25/22, 98.75, 98.83, 98.40, 98.79
03/24/22, 98.64, 98.96, 98.59, 98.79
03/23/22, 98.47, 98.88, 98.39, 98.62
03/22/22, 98.49, 98.97, 98.32, 98.49
03/21/22, 98.24, 98.53, 98.16, 98.50
03/18/22, 98.00, 98.62, 97.84, 98.23
03/17/22, 98.50, 98.51, 97.73, 97.97
03/16/22, 98.89, 99.08, 98.30, 98.62
03/15/22, 99.13, 99.20, 98.64, 99.10
03/14/22, 99.08, 99.29, 98.68, 99.00
03/11/22, 98.36, 99.16, 98.27, 99.12
03/10/22, 98.06, 98.60, 97.71, 98.51
03/09/22, 99.12, 99.11, 97.85, 97.97
03/08/22, 99.24, 99.32, 98.71, 99.06
03/07/22, 98.57, 99.42, 98.57, 99.29
03/04/22, 98.04, 98.92, 97.84, 98.65
03/03/22, 97.47, 97.95, 97.43, 97.78
03/02/22, 97.37, 97.83, 97.29, 97.39
03/01/22, 96.77, 97.58, 96.63, 97.41
02/28/22, 97.25, 97.42, 96.61, 96.71
02/25/22, 97.00, 97.22, 96.52, 96.61
02/24/22, 96.22, 97.73, 96.28, 97.14
02/23/22, 96.04, 96.24, 95.85, 96.19
02/22/22, 96.08, 96.26, 95.84, 96.03
02/21/22, 96.11, 96.15, 95.69, 96.12
02/18/22, 95.83, 96.17, 95.73, 96.04
02/17/22, 95.77, 96.11, 95.71, 95.80
02/16/22, 96.01, 96.06, 95.68, 95.70
02/15/22, 96.24, 96.29, 95.96, 95.99
02/14/22, 96.05, 96.44, 95.91, 96.37
02/11/22, 95.94, 96.11, 95.64, 96.08
02/10/22, 95.57, 96.00, 95.17, 95.55
02/09/22, 95.59, 95.67, 95.38, 95.49
02/08/22, 95.43, 95.75, 95.40, 95.64
02/07/22, 95.44, 95.63, 95.35, 95.40
02/04/22, 95.31, 95.70, 95.14, 95.48
02/03/22, 96.02, 96.25, 95.24, 95.38
02/02/22, 96.27, 96.30, 95.81, 95.94
02/01/22, 96.70, 96.72, 96.23, 96.39
01/31/22, 97.25, 97.30, 96.52, 96.54
01/28/22, 97.25, 97.44, 97.06, 97.27
01/27/22, 96.55, 97.29, 96.53, 97.25
01/26/22, 95.96, 96.54, 95.91, 95.95
01/25/22, 95.93, 96.27, 95.90, 95.95
01/24/22, 95.64, 96.13, 95.63, 95.92
01/21/22, 95.81, 95.84, 95.50, 95.64
01/20/22, 95.59, 95.86, 95.42, 95.73
01/19/22, 95.77, 95.79, 95.49, 95.51
01/18/22, 95.22, 95.83, 95.13, 95.73
01/17/22, 95.15, 95.35, 95.04, 95.26
01/14/22, 94.87, 95.27, 94.63, 95.17
01/13/22, 94.99, 95.02, 94.66, 94.79
01/12/22, 95.58, 95.69, 94.91, 94.92
01/11/22, 95.93, 96.07, 95.58, 95.62
01/10/22, 95.74, 96.23, 95.75, 95.99
01/07/22, 96.26, 96.30, 95.71, 95.72
01/06/22, 96.20, 96.39, 96.03, 96.32
01/05/22, 96.31, 96.33, 95.89, 96.17
01/04/22, 96.19, 96.46, 96.03, 96.26
01/03/22, 95.65, 96.33, 95.63, 96.21
12/31/21, 95.99, 96.11, 95.57, 95.97
12/30/21, 95.89, 96.22, 95.86, 95.97
12/29/21, 96.15, 96.39, 95.76, 95.93
12/28/21, 96.06, 96.28, 96.00, 96.20
12/27/21, 96.15, 96.26, 96.05, 96.09
12/24/21, 96.03, 96.28, 95.99, 96.02
12/23/21, 96.03, 96.28, 95.99, 96.06
12/22/21, 96.47, 96.60, 96.02, 96.08
12/21/21, 96.54, 96.64, 96.34, 96.49
12/20/21, 96.67, 96.69, 96.33, 96.55
12/17/21, 96.00, 96.69, 95.88, 96.56
12/16/21, 96.43, 96.45, 95.85, 96.04
12/15/21, 96.55, 96.91, 96.30, 96.51
12/14/21, 96.35, 96.59, 96.10, 96.57
12/13/21, 96.09, 96.44, 96.05, 96.32
12/10/21, 96.22, 96.43, 95.98, 96.10
12/09/21, 95.96, 96.34, 95.97, 96.27
12/08/21, 96.26, 96.38, 95.85, 95.89
12/07/21, 96.30, 96.59, 96.17, 96.37
12/06/21, 96.16, 96.43, 96.13, 96.33
12/03/21, 96.12, 96.45, 95.97, 96.12
12/02/21, 96.07, 96.17, 95.83, 96.16
12/01/21, 95.94, 96.14, 95.67, 96.03
11/30/21, 96.22, 96.64, 95.52, 95.99
11/29/21, 96.16, 96.44, 96.14, 96.34
11/26/21, 96.72, 96.77, 95.75, 96.09
11/25/21, 96.81, 96.82, 96.65, 96.77
11/24/21, 96.53, 96.94, 96.44, 96.88
11/23/21, 96.46, 96.61, 96.31, 96.49
11/22/21, 96.04, 96.55, 96.04, 96.55
11/19/21, 95.58, 96.24, 95.58, 96.03
11/18/21, 95.80, 95.84, 95.52, 95.54
11/17/21, 95.94, 96.24, 95.73, 95.83
11/16/21, 95.47, 95.98, 95.40, 95.92
11/15/21, 95.12, 95.59, 94.97, 95.41
11/12/21, 95.18, 95.27, 95.00, 95.13
11/11/21, 94.84, 95.20, 94.84, 95.18
11/10/21, 93.98, 94.90, 93.97, 94.85
11/09/21, 94.09, 94.15, 93.88, 93.95
11/08/21, 94.25, 94.38, 93.99, 94.05
11/05/21, 94.34, 94.62, 94.19, 94.32
11/04/21, 93.86, 94.47, 93.83, 94.35
11/03/21, 94.12, 94.21, 93.82, 93.86
11/02/21, 93.93, 94.13, 93.82, 94.09
11/01/21, 94.14, 94.31, 93.86, 93.88
10/29/21, 93.36, 94.30, 93.32, 94.12
10/28/21, 93.88, 93.97, 93.28, 93.34
10/27/21, 93.97, 94.01, 93.69, 93.80
10/26/21, 93.97, 93.97, 93.89, 93.95
10/25/21, 93.66, 93.96, 93.48, 93.81
10/22/21, 93.75, 93.79, 93.54, 93.64
10/21/21, 93.58, 93.79, 93.50, 93.77
10/20/21, 93.81, 93.88, 93.54, 93.56
10/19/21, 93.95, 93.95, 93.50, 93.73
10/18/21, 93.95, 94.17, 93.87, 93.95
10/15/21, 94.03, 94.03, 93.96, 93.96
10/14/21, 94.02, 94.08, 94.02, 94.08
10/13/21, 94.52, 94.53, 94.00, 94.08
10/12/21, 94.37, 94.56, 94.23, 94.52
10/11/21, 94.10, 94.40, 94.03, 94.32
10/08/21, 94.21, 94.34, 93.94, 94.07
10/07/21, 94.23, 94.28, 94.08, 94.22
10/06/21, 93.99, 94.45, 93.98, 94.27
10/05/21, 93.83, 94.06, 93.81, 93.97
10/04/21, 94.05, 94.10, 93.68, 93.78
10/01/21, 94.31, 94.39, 93.99, 94.03
09/30/21, 94.35, 94.50, 94.11, 94.23
09/29/21, 93.72, 94.43, 93.67, 94.34
09/28/21, 93.41, 93.81, 93.36, 93.77
09/27/21, 93.28, 93.49, 93.21, 93.38
09/24/21, 93.07, 93.42, 93.05, 93.33
09/23/21, 93.48, 93.52, 92.98, 93.46
09/22/21, 93.22, 93.51, 92.99, 93.46
09/21/21, 93.24, 93.28, 93.05, 93.20
09/20/21, 93.25, 93.45, 93.19, 93.28
09/17/21, 92.88, 93.25, 92.77, 93.19
09/16/21, 92.46, 92.96, 92.46, 92.93
09/15/21, 92.68, 92.68, 92.42, 92.55
09/14/21, 92.62, 92.68, 92.32, 92.62
09/13/21, 92.61, 92.89, 92.57, 92.67
09/10/21, 92.53, 92.65, 92.33, 92.58
09/09/21, 92.71, 92.76, 92.38, 92.48
09/08/21, 92.54, 92.86, 92.47, 92.65
09/07/21, 92.20, 92.57, 92.10, 92.51
09/06/21, 92.13, 92.31, 92.09, 92.22
09/03/21, 92.22, 92.26, 91.95, 92.03
09/02/21, 92.51, 92.53, 92.21, 92.22
09/01/21, 92.66, 92.79, 92.38, 92.45
08/31/21, 92.70, 92.75, 92.40, 92.63
08/30/21, 92.70, 92.79, 92.60, 92.65
08/27/21, 93.03, 93.18, 92.63, 92.69
08/26/21, 92.83, 93.08, 92.81, 93.06
08/25/21, 92.88, 93.13, 92.81, 92.83
08/24/21, 92.99, 93.08, 92.81, 92.89
08/23/21, 93.48, 93.50, 92.95, 92.96
08/20/21, 93.56, 93.73, 93.43, 93.50
08/19/21, 93.14, 93.58, 93.17, 93.57
08/18/21, 93.14, 93.26, 92.96, 93.14
08/17/21, 92.62, 93.17, 92.61, 93.13
08/16/21, 92.53, 92.66, 92.48, 92.63
08/13/21, 92.97, 93.01, 92.47, 92.52
08/12/21, 92.89, 93.03, 92.85, 93.03
08/11/21, 93.07, 93.19, 92.80, 92.92
08/10/21, 92.98, 93.14, 92.94, 93.06
08/09/21, 92.78, 92.99, 92.72, 92.94
08/06/21, 92.27, 92.84, 92.26, 92.80
08/05/21, 92.28, 92.35, 92.11, 92.24
08/04/21, 92.04, 92.31, 91.82, 92.27
08/03/21, 92.06, 92.16, 91.89, 92.08
08/02/21, 92.09, 92.17, 91.91, 92.05
07/30/21, 91.85, 92.20, 91.78, 92.17
07/29/21, 92.27, 92.29, 91.86, 91.86
07/28/21, 92.46, 92.75, 92.23, 92.32
07/27/21, 92.63, 92.84, 92.32, 92.43
07/26/21, 92.91, 92.96, 92.53, 92.65
07/23/21, 92.81, 93.02, 92.78, 92.91
07/22/21, 92.80, 92.92, 92.51, 92.82
07/21/21, 92.97, 93.19, 92.73, 92.75
07/20/21, 92.88, 93.17, 92.80, 92.97
07/19/21, 92.69, 93.04, 92.64, 92.89
07/16/21, 92.59, 92.76, 92.53, 92.69
07/15/21, 92.39, 92.69, 92.27, 92.62
07/14/21, 92.80, 92.83, 92.35, 92.41
07/13/21, 92.23, 92.81, 92.14, 92.75
07/12/21, 92.13, 92.42, 92.08, 92.26
07/09/21, 92.36, 92.54, 92.09, 92.13
07/08/21, 92.70, 92.79, 92.24, 92.42
07/07/21, 92.53, 92.84, 92.42, 92.64
07/06/21, 92.24, 92.66, 92.00, 92.55
07/05/21, 92.23, 92.36, 92.14, 92.21
07/02/21, 92.57, 92.74, 92.18, 92.23
07/01/21, 92.35, 92.60, 92.26, 92.60
06/30/21, 92.08, 92.45, 92.00, 92.44
06/29/21, 91.88, 92.19, 91.86, 92.05
06/28/21, 91.80, 92.02, 91.70, 91.89
06/25/21, 91.83, 91.88, 91.53, 91.85
06/24/21, 91.80, 91.91, 91.66, 91.81
06/23/21, 91.73, 91.90, 91.51, 91.80
06/22/21, 91.88, 92.14, 91.64, 91.76
06/21/21, 92.31, 92.37, 91.83, 91.90
06/18/21, 91.88, 92.41, 91.81, 92.22
06/17/21, 91.42, 92.01, 91.31, 91.89
06/16/21, 90.54, 91.40, 90.44, 91.13
06/15/21, 90.48, 90.67, 90.35, 90.54
06/14/21, 90.50, 90.60, 90.41, 90.52
06/11/21, 90.07, 90.61, 89.96, 90.56
06/10/21, 90.14, 90.31, 89.98, 90.08
06/09/21, 90.13, 90.17, 89.84, 90.12
06/08/21, 89.98, 90.18, 89.95, 90.08
06/07/21, 90.13, 90.30, 89.91, 89.95
06/04/21, 90.47, 90.63, 90.03, 90.14
06/03/21, 89.93, 90.55, 89.89, 90.51
06/02/21, 89.92, 90.25, 89.86, 89.91
06/01/21, 89.81, 89.94, 89.66, 89.83
05/31/21, 90.03, 90.12, 89.82, 90.03
05/28/21, 90.03, 90.44, 89.98, 90.03
05/27/21, 90.08, 90.18, 89.89, 89.97
05/26/21, 89.69, 90.11, 89.59, 90.04
05/25/21, 89.85, 89.87, 89.53, 89.64
05/24/21, 90.03, 90.10, 89.76, 89.84
05/21/21, 89.78, 90.15, 89.65, 90.02
05/20/21, 90.21, 90.23, 89.75, 89.81
05/19/21, 89.78, 90.29, 89.69, 90.19
05/18/21, 90.18, 90.20, 89.69, 89.75
05/17/21, 90.30, 90.43, 90.15, 90.16
05/14/21, 90.76, 90.80, 90.28, 90.32
05/13/21, 90.75, 90.91, 90.59, 90.75
05/12/21, 90.19, 90.80, 90.16, 90.71
05/11/21, 90.24, 90.36, 89.98, 90.14
05/10/21, 90.21, 90.34, 90.04, 90.21
05/07/21, 90.88, 90.96, 90.19, 90.23
05/06/21, 91.27, 91.38, 90.88, 90.95
05/05/21, 91.28, 91.44, 91.17, 91.31
05/04/21, 91.00, 91.40, 90.99, 91.29
05/03/21, 91.30, 91.39, 90.87, 90.94
04/30/21, 90.63, 91.32, 90.59, 91.28
04/29/21, 90.55, 90.79, 90.42, 90.61
04/28/21, 90.90, 91.13, 90.55, 90.61
04/27/21, 90.88, 91.07, 90.81, 90.91
04/26/21, 90.86, 90.99, 90.68, 90.81
04/23/21, 91.29, 91.30, 90.81, 90.86
04/22/21, 91.11, 91.42, 91.00, 91.33
04/21/21, 91.21, 91.43, 91.09, 91.16
04/20/21, 91.05, 91.28, 90.86, 91.24
04/19/21, 91.58, 91.75, 91.03, 91.07
04/16/21, 91.66, 91.81, 91.49, 91.56
04/15/21, 91.63, 91.75, 91.49, 91.69
04/14/21, 91.83, 91.83, 91.57, 91.69
04/13/21, 92.08, 92.33, 91.79, 91.85
04/12/21, 92.18, 92.33, 92.01, 92.14
04/09/21, 92.07, 92.41, 92.03, 92.16
04/08/21, 92.42, 92.48, 92.00, 92.06
04/07/21, 92.32, 92.50, 92.14, 92.45
04/06/21, 92.57, 92.79, 92.27, 92.33
04/05/21, 93.01, 93.11, 92.54, 92.59
04/02/21, 92.89, 93.07, 92.83, 93.01
04/01/21, 93.22, 93.34, 92.88, 92.93
03/31/21, 93.24, 93.44, 92.99, 93.23
03/30/21, 92.91, 93.35, 92.88, 93.30
03/29/21, 92.74, 92.96, 92.72, 92.94
03/26/21, 92.81, 92.87, 92.64, 92.77
03/25/21, 92.60, 92.92, 92.51, 92.53
03/24/21, 92.39, 92.61, 92.34, 92.53
03/23/21, 91.80, 92.39, 91.76, 92.34
03/22/21, 91.74, 92.15, 91.71, 91.74
03/19/21, 91.83, 92.17, 91.66, 91.92
03/18/21, 91.40, 91.90, 91.30, 91.86
03/17/21, 91.86, 92.00, 91.37, 91.44
03/16/21, 91.83, 92.03, 91.68, 91.86
03/15/21, 91.68, 91.97, 91.54, 91.83
03/12/21, 91.43, 91.96, 91.40, 91.68
03/11/21, 91.79, 91.88, 91.36, 91.42
03/10/21, 92.05, 92.24, 91.77, 91.82
03/09/21, 92.46, 92.50, 91.91, 91.96
03/08/21, 91.94, 92.42, 91.84, 92.31
03/05/21, 91.66, 92.19, 91.62, 91.98
03/04/21, 91.01, 91.67, 90.97, 91.63
03/03/21, 90.79, 91.06, 90.63, 90.95
03/02/21, 91.03, 91.39, 90.72, 90.78
03/01/21, 90.93, 91.14, 90.69, 91.04
02/26/21, 90.36, 90.97, 90.13, 90.88
02/25/21, 90.07, 90.29, 89.68, 90.13
02/24/21, 90.10, 90.43, 89.98, 90.18
02/23/21, 90.02, 90.26, 89.94, 90.17
02/22/21, 90.32, 90.58, 90.00, 90.01
02/19/21, 90.57, 90.65, 90.18, 90.36
02/18/21, 90.90, 90.98, 90.54, 90.59
02/17/21, 90.71, 91.06, 90.62, 90.95
02/16/21, 90.29, 90.65, 90.12, 90.51
02/15/21, 90.42, 90.47, 90.27, 90.37
02/12/21, 90.41, 90.74, 90.38, 90.48
02/11/21, 90.46, 90.47, 90.26, 90.42
02/10/21, 90.49, 90.53, 90.25, 90.37
02/09/21, 90.91, 90.93, 90.43, 90.44
02/08/21, 91.03, 91.23, 90.90, 90.93
02/05/21, 91.49, 91.49, 91.04, 91.04
02/04/21, 91.09, 91.58, 91.08, 91.53
02/03/21, 91.05, 91.31, 90.99, 91.17
02/02/21, 91.00, 91.29, 90.80, 91.20
02/01/21, 90.53, 91.06, 90.50, 90.98
01/29/21, 90.56, 90.78, 90.36, 90.58
01/28/21, 90.73, 90.86, 90.41, 90.45
01/27/21, 90.15, 90.88, 90.15, 90.65
01/26/21, 90.39, 90.61, 90.12, 90.17
01/25/21, 90.24, 90.52, 90.08, 90.39
01/22/21, 90.05, 90.31, 90.05, 90.24
01/21/21, 90.42, 90.45, 90.05, 90.13
01/20/21, 90.41, 90.70, 90.28, 90.47
01/19/21, 90.73, 90.76, 90.40, 90.50
01/18/21, 90.76, 90.95, 90.71, 90.77
01/15/21, 90.22, 90.80, 90.22, 90.77
01/14/21, 90.28, 90.58, 90.08, 90.24
01/13/21, 90.00, 90.45, 89.92, 90.36
01/12/21, 90.52, 90.62, 90.03, 90.09
01/11/21, 90.03, 90.73, 90.03, 90.47
01/08/21, 89.83, 90.25, 89.66, 90.10
01/07/21, 89.32, 89.97, 89.32, 89.83
01/06/21, 89.48, 89.80, 89.21, 89.53
01/05/21, 89.90, 89.90, 89.43, 89.44
01/04/21, 89.93, 89.94, 89.42, 89.87
12/31/20, 89.93, 89.93, 89.93, 89.93
12/30/20, 89.98, 89.98, 89.56, 89.68
12/29/20, 90.21, 90.23, 89.85, 89.99
12/28/20, 90.22, 90.38, 89.98, 90.34
12/25/20, 90.33, 90.42, 90.22, 90.22
12/24/20, 90.28, 90.38, 90.15, 90.32
12/23/20, 90.52, 90.67, 90.16, 90.41
12/22/20, 90.09, 90.72, 90.06, 90.65
12/21/20, 90.15, 91.02, 89.92, 90.04
12/18/20, 89.83, 90.13, 89.83, 90.02
12/17/20, 90.27, 90.27, 89.73, 89.82
12/16/20, 90.49, 90.70, 90.13, 90.45
12/15/20, 90.69, 90.82, 90.42, 90.47
12/14/20, 90.76, 90.98, 90.42, 90.71
12/11/20, 90.74, 91.04, 90.62, 90.98
12/10/20, 91.06, 91.15, 90.67, 90.82
12/09/20, 90.92, 91.20, 90.69, 91.09
